user id [rec1, rec2, rec3, rec4, rec5]
896 ['170', '357', '272', '408', '178']
345 ['127', '483', '408', '134', '603']
326 ['169', '408', '114', '272', '121']
279 ['135', '474', '921', '171', '179']
308 ['114', '657', '474', '251', '189']
234 ['408', '169', '483', '114', '251']
110 ['408', '178', '169', '483', '318']
84 ['318', '408', '169', '50', '64']
537 ['408', '603', '169', '114', '251']
504 ['408', '178', '313', '64', '963']
588 ['408', '654', '64', '169', '134']
350 ['318', '64', '178', '12', '114']
197 ['64', '408', '12', '483', '496']
865 ['318', '64', '12', '114', '50']
858 ['178', '318', '408', '603', '515']
933 ['169', '64', '408', '657', '127']
711 ['285', '127', '603', '251', '654']
429 ['408', '285', '474', '114', '251']
774 ['408', '483', '603', '480', '493']
592 ['181', '647', '114', '199', '1019']
698 ['174', '169', '12', '114', '511']
457 ['408', '251', '963', '178', '603']
788 ['408', '178', '603', '127', '114']
696 ['318', '408', '169', '483', '178']
64 ['408', '483', '169', '127', '114']
447 ['408', '169', '114', '50', '318']
664 ['474', '114', '127', '513', '178']
567 ['408', '169', '114', '189', '48']
690 ['483', '408', '64', '178', '963']
62 ['169', '408', '657', '114', '603']
315 ['408', '64', '483', '169', '251']
919 ['408', '114', '318', '488', '189']
346 ['318', '313', '483', '210', '69']
344 ['483', '474', '657', '199', '114']
13 ['513', '89', '408', '114', '922']
20 ['408', '513', '114', '483', '318']
374 ['408', '513', '178', '479', '313']
72 ['408', '313', '178', '114', '474']
184 ['408', '169', '251', '603', '178']
505 ['408', '318', '178', '64', '483']
239 ['285', '127', '169', '408', '199']
1 ['408', '285', '483', '528', '8']
200 ['963', '603', '50', '178', '64']
189 ['408', '114', '12', '169', '98']
85 ['169', '408', '12', '178', '114']
391 ['114', '169', '408', '178', '657']
477 ['100', '134', '181', '127', '963']
297 ['408', '483', '169', '178', '657']
286 ['496', '19', '485', '963', '64']
418 ['408', '178', '483', '318', '272']
205 ['12', '483', '318', '408', '169']
508 ['408', '285', '127', '169', '483']
357 ['100', '134', '963', '483', '603']
716 ['313', '408', '169', '657', '114']
639 ['515', '963', '318', '64', '408']
383 ['408', '483', '64', '178', '169']
43 ['22', '178', '603', '963', '483']
840 ['408', '114', '12', '963', '251']
519 ['100', '134', '963', '186', '190']
548 ['64', '178', '174', '318', '96']
758 ['114', '408', '169', '100', '89']
699 ['408', '169', '114', '483', '64']
541 ['313', '318', '408', '64', '483']
472 ['963', '428', '483', '272', '199']
833 ['408', '285', '514', '114', '169']
328 ['178', '408', '603', '114', '174']
479 ['12', '64', '251', '285', '603']
760 ['318', '178', '64', '483', '174']
295 ['963', '603', '316', '114', '178']
426 ['408', '114', '178', '603', '64']
645 ['114', '178', '408', '169', '603']
480 ['318', '515', '22', '169', '963']
561 ['408', '169', '114', '134', '127']
222 ['963', '272', '187', '483', '165']
627 ['474', '408', '178', '169', '189']
629 ['483', '408', '178', '169', '272']
741 ['127', '50', '12', '313', '408']
164 ['963', '483', '603', '272', '313']
420 ['483', '178', '64', '50', '169']
2 ['408', '483', '285', '172', '169']
237 ['318', '114', '12', '657', '251']
672 ['318', '178', '483', '603', '64']
387 ['603', '483', '657', '478', '484']
401 ['318', '69', '12', '98', '178']
733 ['408', '114', '923', '318', '12']
194 ['169', '408', '114', '313', '484']
417 ['318', '603', '173', '114', '511']
275 ['178', '318', '603', '483', '114']
94 ['408', '127', '285', '169', '276']
303 ['285', '511', '191', '169', '923']
943 ['169', '408', '318', '657', '178']
188 ['64', '408', '178', '251', '963']
686 ['483', '50', '114', '318', '479']
916 ['127', '285', '603', '408', '357']
90 ['408', '169', '114', '603', '50']
137 ['100', '134', '181', '176', '127']
940 ['318', '64', '178', '483', '199']
806 ['657', '114', '483', '64', '178']
843 ['408', '483', '114', '513', '963']
348 ['483', '603', '199', '114', '318']
42 ['22', '313', '79', '178', '114']
267 ['313', '603', '657', '474', '318']
160 ['318', '169', '64', '178', '12']
56 ['318', '12', '603', '515', '357']
872 ['408', '178', '114', '64', '318']
620 ['114', '318', '408', '169', '178']
476 ['408', '483', '114', '313', '178']
314 ['408', '178', '174', '272', '483']
551 ['963', '169', '483', '96', '511']
934 ['408', '64', '114', '963', '178']
938 ['178', '114', '603', '498', '318']
332 ['134', '963', '483', '603', '272']
761 ['408', '64', '483', '178', '12']
371 ['174', '408', '963', '114', '178']
264 ['408', '318', '114', '169', '178']
268 ['408', '285', '199', '603', '657']
802 ['483', '169', '408', '50', '178']
380 ['408', '127', '603', '178', '483']
766 ['408', '100', '603', '169', '285']
206 ['127', '408', '318', '483', '12']
641 ['408', '114', '178', '12', '169']
100 ['483', '318', '515', '251', '408']
76 ['408', '483', '178', '169', '251']
51 ['408', '178', '169', '114', '318']
126 ['408', '178', '64', '483', '318']
712 ['192', '483', '515', '22', '488']
276 ['483', '657', '199', '134', '480']
606 ['408', '272', '318', '923', '603']
394 ['318', '114', '657', '483', '178']
342 ['474', '127', '318', '64', '48']
147 ['483', '318', '178', '169', '408']
762 ['50', '169', '483', '408', '114']
207 ['178', '603', '480', '427', '136']
673 ['483', '169', '408', '114', '318']
495 ['318', '178', '169', '480', '251']
36 ['318', '178', '483', '114', '169']
313 ['12', '408', '169', '134', '357']
619 ['114', '481', '178', '484', '496']
406 ['408', '178', '114', '169', '516']
593 ['22', '178', '963', '483', '64']
922 ['483', '603', '318', '169', '657']
815 ['22', '178', '12', '318', '511']
257 ['408', '483', '169', '657', '64']
484 ['408', '64', '79', '483', '114']
201 ['114', '474', '178', '657', '169']
643 ['657', '178', '318', '199', '480']
533 ['178', '79', '114', '316', '963']
254 ['408', '483', '96', '178', '127']
210 ['114', '408', '169', '603', '511']
325 ['169', '168', '657', '603', '251']
911 ['408', '169', '114', '318', '178']
894 ['408', '64', '114', '127', '178']
478 ['483', '165', '318', '408', '169']
445 ['483', '169', '114', '178', '963']
682 ['515', '114', '169', '603', '963']
518 ['318', '251', '483', '169', '64']
452 ['313', '408', '251', '963', '923']
37 ['483', '408', '169', '114', '603']
939 ['100', '134', '181', '475', '176']
851 ['195', '96', '114', '178', '169']
442 ['483', '169', '408', '963', '178']
82 ['408', '479', '272', '114', '316']
262 ['408', '178', '318', '251', '483']
648 ['64', '272', '132', '22', '513']
738 ['12', '114', '483', '408', '251']
727 ['64', '318', '963', '357', '923']
225 ['483', '408', '318', '169', '178']
883 ['474', '169', '483', '654', '114']
174 ['316', '963', '64', '22', '318']
336 ['483', '50', '318', '169', '100']
125 ['69', '313', '96', '64', '963']
115 ['408', '483', '603', '134', '114']
706 ['318', '178', '169', '963', '114']
601 ['474', '169', '127', '408', '251']
293 ['408', '169', '276', '114', '318']
198 ['483', '169', '603', '657', '178']
119 ['483', '178', '318', '251', '603']
870 ['408', '285', '251', '199', '657']
785 ['169', '483', '178', '64', '50']
829 ['318', '178', '251', '64', '480']
99 ['318', '178', '408', '136', '480']
343 ['603', '427', '285', '114', '511']
901 ['178', '318', '515', '64', '272']
545 ['318', '50', '64', '483', '408']
613 ['408', '483', '169', '114', '178']
60 ['169', '114', '408', '318', '657']
296 ['408', '169', '178', '64', '318']
559 ['408', '64', '251', '178', '483']
409 ['114', '408', '169', '513', '427']
379 ['603', '408', '483', '318', '114']
498 ['408', '169', '318', '114', '963']
354 ['408', '178', '64', '114', '923']
105 ['483', '408', '178', '50', '603']
298 ['64', '178', '313', '98', '515']
640 ['134', '127', '963', '483', '603']
130 ['603', '313', '114', '318', '178']
69 ['408', '114', '483', '127', '318']
587 ['408', '178', '169', '483', '318']
634 ['318', '251', '64', '963', '169']
804 ['313', '178', '114', '169', '64']
485 ['483', '114', '174', '178', '12']
773 ['474', '285', '483', '647', '8']
763 ['408', '178', '64', '603', '480']
663 ['178', '483', '318', '408', '657']
930 ['483', '408', '603', '169', '511']
503 ['408', '178', '483', '603', '661']
30 ['483', '318', '963', '169', '408']
674 ['483', '408', '963', '169', '64']
290 ['313', '408', '178', '172', '488']
736 ['178', '483', '318', '64', '488']
229 ['483', '50', '408', '174', '923']
731 ['174', '22', '483', '963', '318']
861 ['408', '64', '483', '169', '515']
233 ['178', '316', '169', '963', '272']
585 ['408', '127', '483', '187', '64']
932 ['483', '408', '127', '8', '251']
436 ['515', '22', '483', '178', '318']
44 ['483', '251', '408', '178', '169']
595 ['408', '127', '134', '603', '483']
904 ['408', '483', '114', '169', '603']
170 ['408', '64', '483', '318', '50']
913 ['515', '114', '199', '483', '285']
496 ['12', '127', '408', '169', '114']
538 ['408', '178', '64', '169', '603']
615 ['408', '64', '483', '12', '318']
70 ['318', '603', '178', '114', '64']
306 ['50', '174', '64', '408', '172']
655 ['408', '114', '169', '488', '180']
826 ['174', '408', '169', '483', '963']
58 ['114', '318', '285', '169', '134']
483 ['408', '483', '603', '114', '178']
18 ['251', '657', '114', '272', '223']
244 ['408', '483', '657', '474', '136']
250 ['408', '169', '98', '483', '603']
327 ['483', '251', '515', '199', '114']
599 ['963', '483', '603', '272', '199']
524 ['114', '408', '316', '656', '923']
523 ['134', '127', '483', '603', '272']
878 ['408', '178', '480', '169', '603']
786 ['408', '64', '169', '483', '114']
776 ['408', '12', '498', '64', '169']
748 ['178', '100', '313', '272', '12']
676 ['408', '178', '251', '603', '511']
918 ['408', '178', '603', '318', '251']
569 ['408', '318', '127', '169', '114']
881 ['318', '316', '963', '251', '45']
270 ['134', '127', '963', '190', '483']
253 ['174', '313', '178', '496', '172']
514 ['603', '515', '963', '488', '479']
382 ['178', '408', '114', '169', '64']
138 ['408', '114', '169', '178', '251']
337 ['174', '318', '50', '64', '22']
8 ['408', '178', '169', '483', '114']
102 ['408', '318', '64', '169', '114']
458 ['114', '89', '657', '963', '923']
800 ['483', '318', '178', '408', '64']
898 ['169', '114', '408', '318', '483']
653 ['173', '114', '12', '515', '483']
844 ['483', '127', '408', '169', '64']
148 ['12', '657', '318', '64', '316']
407 ['178', '64', '251', '114', '513']
540 ['408', '127', '483', '169', '178']
158 ['603', '114', '178', '657', '318']
386 ['318', '483', '408', '251', '313']
605 ['169', '603', '657', '515', '178']
263 ['12', '174', '169', '251', '480']
425 ['169', '483', '408', '657', '199']
416 ['963', '178', '114', '45', '483']
16 ['483', '50', '114', '408', '169']
193 ['483', '408', '50', '172', '64']
506 ['22', '181', '313', '64', '178']
96 ['483', '408', '178', '169', '603']
178 ['408', '963', '488', '272', '114']
854 ['169', '12', '408', '474', '199']
488 ['479', '963', '316', '603', '408']
180 ['408', '114', '169', '483', '513']
897 ['178', '64', '408', '318', '488']
749 ['114', '408', '520', '481', '494']
135 ['408', '483', '169', '114', '285']
455 ['483', '408', '114', '169', '178']
389 ['408', '285', '169', '178', '114']
546 ['475', '483', '169', '251', '408']
543 ['408', '483', '178', '603', '963']
347 ['64', '313', '480', '488', '178']
630 ['318', '178', '251', '513', '114']
665 ['178', '603', '408', '98', '64']
321 ['178', '408', '169', '114', '963']
154 ['408', '483', '169', '963', '50']
173 ['134', '127', '963', '190', '483']
91 ['12', '318', '408', '114', '963']
782 ['408', '64', '178', '169', '318']
217 ['408', '169', '64', '178', '114']
272 ['50', '64', '318', '251', '408']
128 ['408', '178', '169', '127', '251']
642 ['515', '64', '178', '488', '963']
227 ['408', '169', '474', '483', '178']
695 ['483', '50', '169', '408', '178']
307 ['603', '135', '657', '100', '223']
899 ['483', '169', '178', '963', '316']
202 ['408', '169', '50', '483', '114']
628 ['100', '134', '127', '963', '79']
931 ['408', '178', '98', '603', '64']
925 ['408', '178', '483', '127', '603']
717 ['64', '178', '408', '318', '483']
451 ['963', '64', '169', '657', '178']
764 ['178', '313', '408', '251', '483']
923 ['963', '483', '603', '272', '199']
863 ['100', '178', '603', '498', '483']
490 ['408', '169', '114', '657', '474']
757 ['408', '114', '483', '178', '963']
694 ['12', '64', '174', '169', '114']
136 ['408', '50', '285', '483', '169']
927 ['408', '483', '178', '48', '318']
181 ['22', '174', '178', '313', '318']
470 ['483', '408', '50', '603', '114']
372 ['100', '134', '181', '176', '346']
729 ['483', '50', '408', '64', '178']
232 ['408', '169', '64', '513', '657']
715 ['178', '427', '357', '313', '603']
312 ['408', '963', '318', '64', '313']
553 ['318', '408', '64', '114', '178']
521 ['169', '12', '64', '318', '963']
288 ['313', '178', '318', '114', '603']
363 ['209', '135', '114', '483', '23']
708 ['483', '64', '69', '98', '79']
647 ['515', '483', '408', '64', '12']
807 ['64', '251', '963', '603', '50']
507 ['258', '100', '134', '1160', '82']
487 ['114', '483', '603', '479', '963']
637 ['114', '178', '603', '318', '64']
269 ['408', '169', '709', '199', '251']
168 ['174', '318', '178', '50', '96']
608 ['515', '604', '963', '408', '316']
493 ['64', '408', '313', '178', '169']
453 ['127', '134', '114', '483', '603']
79 ['408', '169', '114', '483', '12']
305 ['488', '603', '100', '357', '657']
828 ['318', '50', '483', '178', '64']
230 ['178', '408', '316', '318', '480']
256 ['313', '114', '318', '178', '64']
936 ['408', '483', '603', '114', '963']
21 ['134', '302', '285', '603', '276']
40 ['483', '178', '169', '408', '64']
25 ['483', '318', '178', '169', '313']
908 ['408', '114', '169', '178', '313']
179 ['169', '318', '483', '64', '408']
721 ['178', '515', '79', '483', '251']
322 ['313', '483', '408', '50', '64']
499 ['318', '64', '408', '603', '515']
831 ['174', '318', '483', '172', '408']
751 ['408', '127', '169', '251', '64']
726 ['483', '50', '178', '408', '603']
560 ['408', '169', '114', '603', '64']
203 ['483', '408', '178', '64', '603']
842 ['408', '483', '318', '169', '12']
823 ['483', '169', '515', '114', '178']
803 ['50', '127', '12', '169', '408']
97 ['483', '12', '178', '64', '513']
83 ['172', '64', '483', '408', '963']
535 ['408', '169', '114', '474', '313']
552 ['318', '178', '114', '483', '603']
752 ['408', '483', '963', '515', '923']
22 ['12', '56', '318', '114', '357']
38 ['22', '515', '483', '511', '174']
591 ['318', '178', '169', '408', '251']
586 ['483', '515', '48', '98', '408']
370 ['408', '483', '178', '251', '318']
654 ['515', '64', '178', '96', '196']
464 ['169', '318', '408', '64', '483']
460 ['408', '64', '251', '483', '169']
805 ['408', '474', '285', '251', '134']
427 ['100', '134', '181', '127', '963']
215 ['169', '657', '603', '408', '114']
48 ['408', '178', '114', '318', '169']
381 ['408', '483', '169', '474', '114']
784 ['408', '318', '483', '178', '169']
152 ['963', '190', '483', '603', '28']
331 ['318', '515', '114', '408', '313']
877 ['64', '127', '12', '318', '408']
116 ['408', '64', '318', '483', '178']
582 ['408', '127', '64', '169', '98']
860 ['483', '408', '114', '178', '603']
162 ['408', '64', '178', '603', '114']
573 ['408', '318', '483', '64', '169']
123 ['50', '408', '114', '169', '12']
667 ['483', '318', '408', '251', '511']
454 ['272', '178', '963', '251', '513']
489 ['963', '483', '408', '923', '64']
830 ['408', '603', '114', '318', '178']
791 ['408', '483', '64', '603', '178']
360 ['408', '169', '134', '923', '603']
87 ['313', '496', '408', '963', '483']
213 ['408', '483', '114', '272', '169']
871 ['408', '64', '483', '12', '178']
129 ['318', '178', '408', '515', '603']
527 ['313', '408', '178', '483', '114']
845 ['318', '408', '483', '64', '169']
19 ['114', '483', '169', '603', '12']
311 ['963', '114', '195', '272', '190']
104 ['408', '603', '50', '483', '134']
730 ['603', '483', '178', '134', '408']
211 ['408', '483', '178', '64', '98']
621 ['483', '408', '114', '603', '169']
236 ['603', '316', '313', '408', '56']
5 ['318', '169', '475', '483', '251']
27 ['408', '318', '114', '178', '483']
329 ['318', '483', '64', '408', '178']
246 ['408', '474', '285', '603', '657']
6 ['427', '603', '657', '172', '313']
778 ['408', '474', '169', '114', '100']
755 ['318', '169', '114', '483', '178']
468 ['408', '169', '483', '114', '657']
920 ['64', '318', '408', '178', '169']
28 ['313', '318', '64', '178', '79']
669 ['178', '318', '251', '603', '285']
590 ['483', '50', '64', '408', '318']
15 ['313', '318', '64', '408', '272']
626 ['127', '408', '483', '515', '12']
221 ['408', '127', '483', '114', '64']
52 ['483', '12', '114', '178', '64']
848 ['64', '12', '515', '251', '178']
710 ['408', '169', '178', '474', '114']
449 ['483', '408', '50', '169', '657']
334 ['114', '513', '318', '251', '1449']
707 ['408', '169', '114', '474', '513']
722 ['178', '318', '64', '50', '483']
340 ['963', '483', '603', '272', '12']
14 ['483', '169', '114', '199', '178']
106 ['408', '603', '114', '483', '169']
81 ['408', '114', '272', '483', '178']
660 ['408', '603', '114', '12', '127']
31 ['408', '483', '50', '169', '603']
324 ['100', '134', '127', '963', '190']
320 ['408', '169', '178', '318', '483']
218 ['50', '408', '169', '483', '114']
216 ['318', '178', '483', '127', '603']
554 ['64', '408', '483', '12', '178']
702 ['50', '483', '318', '114', '408']
219 ['408', '483', '169', '50', '318']
353 ['408', '318', '178', '483', '169']
23 ['169', '251', '657', '64', '474']
388 ['127', '483', '12', '114', '318']
437 ['50', '285', '127', '427', '302']
847 ['483', '318', '272', '313', '408']
109 ['204', '496', '313', '222', '272']
112 ['64', '318', '483', '178', '427']
885 ['178', '515', '98', '64', '313']
12 ['483', '313', '318', '64', '408']
316 ['483', '178', '603', '408', '64']
249 ['654', '474', '127', '483', '657']
114 ['408', '178', '603', '114', '169']
497 ['318', '483', '515', '272', '313']
355 ['64', '603', '98', '427', '178']
77 ['408', '318', '169', '64', '178']
718 ['408', '114', '178', '318', '12']
255 ['408', '178', '127', '114', '603']
399 ['178', '408', '169', '316', '474']
659 ['408', '318', '12', '114', '251']
57 ['483', '408', '114', '174', '178']
10 ['408', '318', '114', '169', '963']
745 ['318', '178', '483', '64', '657']
282 ['318', '408', '483', '64', '169']
631 ['318', '64', '408', '178', '483']
400 ['313', '64', '178', '318', '408']
501 ['114', '318', '408', '603', '12']
685 ['50', '408', '169', '483', '12']
89 ['318', '313', '408', '178', '483']
463 ['357', '318', '603', '98', '498']
703 ['318', '114', '408', '603', '483']
377 ['408', '318', '483', '178', '114']
422 ['408', '483', '603', '64', '114']
465 ['483', '178', '963', '603', '657']
719 ['963', '178', '408', '483', '481']
633 ['114', '515', '12', '313', '178']
692 ['408', '178', '114', '483', '12']
223 ['64', '408', '178', '169', '12']
428 ['318', '408', '114', '483', '64']
874 ['408', '318', '313', '483', '12']
771 ['483', '178', '251', '963', '64']
330 ['134', '127', '79', '483', '603']
862 ['963', '272', '98', '318', '192']
856 ['408', '483', '178', '169', '318']
884 ['50', '483', '169', '318', '408']
775 ['178', '318', '64', '483', '169']
910 ['408', '178', '169', '483', '313']
494 ['408', '178', '114', '169', '483']
459 ['318', '483', '313', '64', '408']
838 ['483', '515', '603', '657', '12']
568 ['408', '114', '169', '50', '12']
323 ['408', '12', '169', '114', '483']
839 ['318', '483', '178', '64', '408']
376 ['318', '127', '483', '178', '408']
617 ['408', '178', '923', '483', '513']
63 ['483', '603', '178', '318', '963']
616 ['50', '174', '64', '483', '318']
335 ['408', '64', '178', '12', '114']
120 ['408', '169', '483', '178', '114']
163 ['178', '408', '50', '483', '169']
836 ['169', '408', '178', '114', '483']
101 ['174', '318', '313', '64', '22']
693 ['169', '408', '114', '64', '272']
226 ['318', '313', '64', '178', '114']
532 ['963', '50', '174', '178', '64']
798 ['169', '64', '178', '483', '318']
825 ['318', '178', '22', '316', '496']
11 ['483', '408', '114', '169', '178']
24 ['483', '603', '12', '50', '114']
681 ['483', '50', '603', '178', '318']
528 ['12', '318', '169', '64', '114']
397 ['603', '313', '408', '169', '427']
607 ['169', '408', '114', '657', '603']
820 ['318', '483', '178', '251', '169']
186 ['408', '12', '169', '483', '313']
281 ['50', '408', '483', '64', '172']
510 ['64', '408', '178', '313', '169']
853 ['64', '318', '98', '251', '12']
679 ['408', '603', '98', '178', '114']
566 ['169', '408', '178', '251', '474']
539 ['178', '408', '272', '169', '318']
146 ['169', '408', '64', '318', '178']
661 ['483', '427', '474', '114', '408']
644 ['483', '114', '513', '178', '408']
893 ['178', '169', '483', '318', '408']
235 ['169', '178', '251', '64', '199']
780 ['178', '169', '64', '963', '483']
574 ['408', '178', '169', '64', '318']
859 ['483', '178', '64', '408', '169']
75 ['169', '483', '474', '603', '178']
65 ['483', '408', '603', '515', '251']
438 ['64', '12', '408', '318', '169']
469 ['127', '318', '408', '50', '12']
824 ['408', '483', '169', '178', '50']
356 ['318', '64', '169', '515', '603']
935 ['169', '318', '114', '408', '64']
333 ['318', '114', '603', '408', '169']
177 ['408', '169', '114', '657', '474']
914 ['50', '408', '12', '127', '483']
598 ['408', '114', '483', '178', '603']
284 ['408', '178', '318', '169', '483']
423 ['408', '50', '169', '64', '178']
398 ['98', '318', '963', '408', '313']
597 ['408', '64', '169', '483', '12']
433 ['12', '483', '318', '50', '408']
411 ['318', '169', '483', '64', '12']
886 ['50', '169', '408', '480', '114']
709 ['408', '178', '483', '285', '48']
697 ['408', '114', '178', '169', '12']
349 ['408', '483', '174', '318', '50']
624 ['408', '64', '318', '483', '169']
562 ['64', '178', '318', '408', '603']
724 ['318', '114', '302', '178', '474']
713 ['408', '178', '318', '127', '169']
680 ['483', '318', '169', '64', '603']
26 ['408', '178', '98', '483', '114']
187 ['318', '483', '169', '515', '408']
209 ['408', '483', '64', '50', '603']
443 ['178', '318', '64', '483', '408']
890 ['98', '56', '12', '408', '178']
811 ['963', '483', '603', '12', '114']
869 ['50', '483', '427', '12', '357']
536 ['313', '963', '515', '173', '64']
912 ['408', '114', '178', '169', '603']
294 ['408', '114', '483', '178', '318']
142 ['178', '64', '603', '318', '169']
531 ['318', '408', '64', '169', '50']
801 ['134', '127', '963', '483', '603']
725 ['483', '64', '408', '169', '251']
430 ['178', '408', '488', '483', '480']
827 ['64', '483', '408', '318', '251']
887 ['483', '603', '114', '178', '479']
754 ['408', '178', '483', '169', '603']
481 ['483', '408', '169', '963', '174']
375 ['178', '408', '169', '114', '483']
156 ['483', '408', '169', '178', '603']
793 ['408', '318', '114', '178', '483']
600 ['408', '178', '483', '603', '114']
185 ['64', '313', '408', '483', '174']
855 ['408', '483', '169', '178', '114']
705 ['178', '408', '318', '480', '114']
941 ['483', '178', '64', '12', '127']
821 ['127', '963', '190', '603', '12']
603 ['318', '178', '513', '64', '408']
683 ['408', '483', '318', '64', '178']
906 ['50', '12', '127', '483', '174']
278 ['408', '64', '178', '114', '318']
779 ['483', '603', '313', '174', '318']
903 ['408', '178', '603', '313', '169']
511 ['318', '313', '408', '178', '50']
867 ['169', '483', '408', '251', '963']
466 ['318', '515', '178', '483', '603']
614 ['408', '169', '483', '178', '50']
929 ['408', '169', '114', '483', '318']
364 ['64', '483', '408', '178', '251']
728 ['408', '169', '178', '483', '318']
610 ['64', '408', '178', '98', '251']
195 ['408', '483', '169', '251', '64']
515 ['483', '178', '408', '169', '114']
756 ['318', '64', '12', '408', '427']
265 ['178', '318', '64', '169', '251']
512 ['169', '178', '12', '408', '483']
261 ['483', '603', '114', '318', '513']
704 ['178', '408', '64', '169', '474']
572 ['408', '169', '483', '114', '318']
522 ['483', '408', '169', '178', '657']
175 ['408', '318', '64', '169', '603']
73 ['483', '169', '168', '178', '251']
413 ['318', '178', '114', '127', '408']
113 ['408', '178', '64', '114', '169']
358 ['408', '483', '169', '603', '474']
813 ['178', '64', '408', '318', '480']
492 ['318', '408', '12', '515', '251']
700 ['12', '64', '408', '313', '127']
678 ['408', '64', '114', '318', '483']
604 ['408', '318', '483', '178', '169']
41 ['483', '178', '169', '408', '64']
196 ['64', '483', '408', '318', '178']
165 ['408', '318', '483', '114', '169']
408 ['408', '12', '483', '174', '169']
509 ['408', '127', '169', '12', '483']
384 ['408', '50', '318', '12', '114']
662 ['318', '114', '408', '603', '178']
117 ['483', '318', '64', '603', '513']
625 ['178', '64', '318', '657', '427']
837 ['169', '408', '12', '56', '64']
742 ['318', '408', '483', '114', '603']
365 ['408', '169', '114', '178', '64']
658 ['603', '64', '483', '114', '98']
402 ['178', '169', '963', '603', '318']
866 ['408', '169', '483', '178', '64']
557 ['318', '408', '114', '313', '169']
739 ['408', '114', '169', '483', '89']
199 ['318', '50', '114', '408', '12']
580 ['483', '64', '603', '178', '169']
274 ['114', '178', '474', '408', '169']
367 ['127', '963', '483', '603', '199']
277 ['483', '408', '963', '12', '114']
611 ['178', '483', '64', '408', '169']
224 ['64', '316', '515', '272', '483']
873 ['408', '169', '318', '114', '963']
107 ['169', '318', '178', '483', '64']
204 ['408', '483', '50', '169', '963']
684 ['318', '114', '603', '272', '169']
3 ['50', '408', '483', '169', '64']
814 ['408', '64', '318', '483', '251']
526 ['408', '169', '483', '474', '318']
720 ['408', '114', '50', '483', '318']
594 ['318', '408', '64', '114', '178']
675 ['408', '64', '178', '251', '169']
549 ['169', '483', '408', '12', '64']
816 ['483', '64', '178', '169', '408']
471 ['408', '178', '64', '114', '169']
80 ['64', '318', '178', '408', '316']
35 ['408', '114', '318', '603', '169']
714 ['178', '483', '64', '408', '603']
565 ['114', '64', '408', '169', '178']
789 ['408', '169', '483', '114', '178']
517 ['408', '169', '483', '114', '178']
208 ['50', '64', '169', '483', '178']
576 ['64', '408', '318', '313', '178']
86 ['408', '318', '483', '127', '178']
368 ['408', '318', '169', '114', '12']
220 ['408', '483', '318', '169', '64']
534 ['134', '127', '963', '190', '483']
529 ['483', '50', '408', '603', '169']
248 ['408', '483', '169', '318', '603']
242 ['408', '483', '178', '64', '318']
310 ['408', '178', '603', '483', '480']
467 ['50', '483', '169', '318', '64']
482 ['483', '169', '64', '174', '318']
319 ['64', '178', '408', '318', '483']
563 ['318', '483', '174', '64', '251']
